NAME,ALT_NAME1,ALT_NAME2,SOURCE,DEFINITION,REG_NAME,DIST_NAME,RELIABILIT,X_COORD,Y_COORD,P_CODE,CODE,FID_1,FID_Somali,NAME_1,ALT_NAME_1,ALT_NAME_2,SOURCE_1,DEFINITI_1,REG_NAME_1,DIST_NAM_1,RELIABIL_1,X_COORD_1,Y_COORD_1,P_CODE_1,CODE_1,FID_som_ad,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod
Oomin,,,UNDP - 2006,Settlement,Bakool,Tayeeglow,Verified,44.44612000000,4.02935000000,NB-3814-Z21-004,Z21-004,"6318","7557",Oomin,,,UNDP - 2006,Settlement,Bakool,Tayeeglow,Verified,44.44612000000,4.02935000000,NB-3814-Z21-004,Z21-004,"59",Tayeeglow,SO2503,Tayeeglow,"Tiyeeglow, Tayeglow, Tieglow",,Bakool,SO25,Somalia,SO
Oondheere,,,UNDP - 1997,Settlement,Lower Juba,Jamaame,Verified,42.88901900000,0.12279000000,NA-3813-X20-003,X20-003,"226","7558",Oondheere,,,UNDP - 1997,Settlement,Lower Juba,Jamaame,Verified,42.88901900000,0.12279000000,NA-3813-X20-003,X20-003,"74",Jamaame,SO2804,Jamaame,Jamame,,Lower Juba,SO28,Somalia,SO
Oonley,,,UNDP - 1997,Settlement,Lower Juba,Afmadow,Verified,42.52051200000,0.00210000000,NA-3813-Z12-001,Z12-001,"163","7559",Oonley,,,UNDP - 1997,Settlement,Lower Juba,Afmadow,Verified,42.52051200000,0.00210000000,NA-3813-Z12-001,Z12-001,"72",Afmadow,SO2802,Afmadow,,,Lower Juba,SO28,Somalia,SO
Oonreeb,,,INGO - 2010,Settlement,Hiraan,Belet Weyne,Unverified,45.80724500000,5.00415900000,NB-3811-Z18-001,Z18-001,"6937","7560",Oonreeb,,,INGO - 2010,Settlement,Hiraan,Belet Weyne,Unverified,45.80724500000,5.00415900000,NB-3811-Z18-001,Z18-001,"39",Belet Weyne,SO2001,Belet Weyne,Beled Weyne,,Hiraan,SO20,Somalia,SO
Oorar,Ooraar,,"UNDP - 2006, FSAU",Settlement,Bakool,Tayeeglow,Verified,44.34649400000,3.88316700000,NA-3802-C19-003,C19-003,"6007","7561",Oorar,Ooraar,,"UNDP - 2006, FSAU",Settlement,Bakool,Tayeeglow,Verified,44.34649400000,3.88316700000,NA-3802-C19-003,C19-003,"59",Tayeeglow,SO2503,Tayeeglow,"Tiyeeglow, Tayeglow, Tieglow",,Bakool,SO25,Somalia,SO
Oore,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.37076000000,3.13312000000,NA-3801-W31-005,W31-005,"4707","7562",Oore,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.37076000000,3.13312000000,NA-3801-W31-005,W31-005,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Oorey,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.16462000000,4.03961000000,NB-3814-Z15-006,Z15-006,"6349","7563",Oorey,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.16462000000,4.03961000000,NB-3814-Z15-006,Z15-006,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Oor-Gaafin,Organton,Oragaafan,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bakool,Waajid,Verified,43.43101000000,3.89447000000,NA-3801-C32-001,C32-001,"6015","7564",Oor-Gaafin,Organton,Oragaafan,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bakool,Waajid,Verified,43.43101000000,3.89447000000,NA-3801-C32-001,C32-001,"60",Waajid,SO2504,Waajid,Wajid,,Bakool,SO25,Somalia,SO
Oorley,Oorley/Faxshil,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.29392000000,2.94699000000,NA-3807-B07-004,B07-004,"4075","7565",Oorley,Oorley/Faxshil,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.29392000000,2.94699000000,NA-3807-B07-004,B07-004,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Ooro,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.54375100000,3.01175000000,NA-3802-Z01-004,Z01-004,"4287","7566",Ooro,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.54375100000,3.01175000000,NA-3802-Z01-004,Z01-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Ooro,,,UNDP - 1997,Settlement,Middle Juba,Saakow,Verified,42.54922100000,1.71933000000,NA-3809-G13-003,G13-003,"990","7567",Ooro,,,UNDP - 1997,Settlement,Middle Juba,Saakow,Verified,42.54922100000,1.71933000000,NA-3809-G13-003,G13-003,"70",Saakow,SO2703,Saakow,Sakow,,Middle Juba,SO27,Somalia,SO
Or Ghielleis,,,UNDP - 1997,Settlement,Mudug,Hobyo,Verified,48.88250000000,6.17220000000,NB-3905-V20-001,V20-001,"7196","7568",Or Ghielleis,,,UNDP - 1997,Settlement,Mudug,Hobyo,Verified,48.88250000000,6.17220000000,NB-3905-V20-001,V20-001,"31",Hobyo,SO1803,Hobyo,,,Mudug,SO18,Somalia,SO
Oraxley,,,UNDP - 1997,Settlement,Lower Juba,Jamaame,Verified,42.86526100000,0.05601000000,NA-3813-Y20-001,Y20-001,"195","7569",Oraxley,,,UNDP - 1997,Settlement,Lower Juba,Jamaame,Verified,42.86526100000,0.05601000000,NA-3813-Y20-001,Y20-001,"74",Jamaame,SO2804,Jamaame,Jamame,,Lower Juba,SO28,Somalia,SO
Ordolo Wangel,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.54620000000,3.30124000000,NA-3802-S02-004,S02-004,"5186","7570",Ordolo Wangel,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.54620000000,3.30124000000,NA-3802-S02-004,S02-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Oriale,,,UNDP - 1997,Settlement,Lower Shabelle,Marka,Verified,44.97411100000,1.83834000000,NA-3810-D33-001,D33-001,"1244","7571",Oriale,,,UNDP - 1997,Settlement,Lower Shabelle,Marka,Verified,44.97411100000,1.83834000000,NA-3810-D33-001,D33-001,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Orogdi,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.91790000000,2.96383000000,NA-3806-A10-003,A10-003,"4138","7572",Orogdi,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.91790000000,2.96383000000,NA-3806-A10-003,A10-003,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Orogley,Orugley,,"UNDP - 2006, UNDP - 1997",Settlement,Bakool,Xudur,Verified,43.80255000000,3.94480000000,NA-3802-B07-001,B07-001,"6123","7573",Orogley,Orugley,,"UNDP - 2006, UNDP - 1997",Settlement,Bakool,Xudur,Verified,43.80255000000,3.94480000000,NA-3802-B07-001,B07-001,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Oroma,Oromo,,"UNDP - 2006, UNDP - 1997",Settlement,Woqooyi Galbeed,Hargeysa,Verified,43.92883000000,9.60448000000,NC-3810-K10-001,K10-001,"8348","7574",Oroma,Oromo,,"UNDP - 2006, UNDP - 1997",Settlement,Woqooyi Galbeed,Hargeysa,Verified,43.92883000000,9.60448000000,NC-3810-K10-001,K10-001,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
Orooshe/Uduullow,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.01286000000,3.99095000000,NA-3802-A12-004,A12-004,"6211","7575",Orooshe/Uduullow,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.01286000000,3.99095000000,NA-3802-A12-004,A12-004,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Oroow,Orow,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.14841000000,2.73402000000,NA-3806-G15-004,G15-004,"3328","7576",Oroow,Orow,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.14841000000,2.73402000000,NA-3806-G15-004,G15-004,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Oroshi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.49721000000,3.13784000000,NA-3801-W33-015,W33-015,"4717","7577",Oroshi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.49721000000,3.13784000000,NA-3801-W33-015,W33-015,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Orostolo,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.21445100000,2.81100000000,NA-3806-E16-004,E16-004,"3614","7578",Orostolo,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.21445100000,2.81100000000,NA-3806-E16-004,E16-004,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Orraxley,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.06020000000,2.72110000000,NA-3807-G02-001,G02-001,"3280","7579",Orraxley,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.06020000000,2.72110000000,NA-3807-G02-001,G02-001,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Ortalis,,,UNDP - 1997,Settlement,Mudug,Hobyo,Verified,48.18030200000,5.99810000000,NB-3909-A04-001,A04-001,"7168","7580",Ortalis,,,UNDP - 1997,Settlement,Mudug,Hobyo,Verified,48.18030200000,5.99810000000,NB-3909-A04-001,A04-001,"31",Hobyo,SO1803,Hobyo,,,Mudug,SO18,Somalia,SO
Osboda,,,UNDP - 1997,Settlement,Lower Juba,Kismayo,Verified,42.08758900000,-0.75320000000,SA-3801-U02-001,U02-001,"49","7581",Osboda,,,UNDP - 1997,Settlement,Lower Juba,Kismayo,Verified,42.08758900000,-0.75320000000,SA-3801-U02-001,U02-001,"71",Kismaayo,SO2801,Kismaayo,Kismayo,,Lower Juba,SO28,Somalia,SO
Osman Bati,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.67936000000,2.14170000000,NA-3806-W26-006,W26-006,"1730","7582",Osman Bati,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.67936000000,2.14170000000,NA-3806-W26-006,W26-006,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Osman Ceynte,,,UNDP - 2006,Settlement,Lower Shabelle,Afgooye,Verified,45.15694000000,2.55809000000,NA-3807-L04-003,L04-003,"2817","7583",Osman Ceynte,,,UNDP - 2006,Settlement,Lower Shabelle,Afgooye,Verified,45.15694000000,2.55809000000,NA-3807-L04-003,L04-003,"47",Afgooye,SO2302,Afgooye,Afgoi,,Lower Shabelle,SO23,Somalia,SO
Osman Gadud,Osman Gaduud,Cusmaan Gaduud,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.61244000000,1.83944000000,NA-3810-D25-001,D25-001,"1246","7584",Osman Gadud,Osman Gaduud,Cusmaan Gaduud,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.61244000000,1.83944000000,NA-3810-D25-001,D25-001,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Osman Jiilaal,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.64104000000,2.74152000000,NA-3807-G15-009,G15-009,"3349","7585",Osman Jiilaal,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.64104000000,2.74152000000,NA-3807-G15-009,G15-009,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Osman Kusow,Cusman Kuusow,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.05268000000,2.58932000000,NA-3807-K02-001,K02-001,"2929","7586",Osman Kusow,Cusman Kuusow,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.05268000000,2.58932000000,NA-3807-K02-001,K02-001,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Osman Salah,Cusman Saalax,,"KEMRI - 2007, UNDP - 2006",Settlement,Lower Shabelle,Marka,Verified,44.78936000000,1.83717000000,NA-3810-D29-002,D29-002,"1239","7587",Osman Salah,Cusman Saalax,,"KEMRI - 2007, UNDP - 2006",Settlement,Lower Shabelle,Marka,Verified,44.78936000000,1.83717000000,NA-3810-D29-002,D29-002,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Osmaney Mo'Allim,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.06915000000,2.52818000000,NA-3807-M02-008,M02-008,"2720","7588",Osmaney Mo'Allim,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.06915000000,2.52818000000,NA-3807-M02-008,M02-008,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Oswein,,,FSAU,Settlement,Galgaduud,Ceel Dheer,Verified,46.93595000000,4.12506000000,NB-3816-W10-002,W10-002,"6467","7589",Oswein,,,FSAU,Settlement,Galgaduud,Ceel Dheer,Verified,46.93595000000,4.12506000000,NB-3816-W10-002,W10-002,"38",Ceel Dheer,SO1905,Ceel Dheer,"El Dere, El Der",,Galgaduud,SO19,Somalia,SO
Ou Jesow,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.11219000000,2.55547000000,NA-3806-L14-002,L14-002,"2805","7590",Ou Jesow,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.11219000000,2.55547000000,NA-3806-L14-002,L14-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Owdheerow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.44320000000,3.30901000000,NA-3801-S32-012,S32-012,"5212","7591",Owdheerow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.44320000000,3.30901000000,NA-3801-S32-012,S32-012,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Owdweyne/Barwaaqo,,,GTZ - 2002,Part of town,Togdheer,Owdweyne,Verified,45.06304000000,9.41012900000,NC-3811-Q02-002,Q02-002,"8092","7592",Owdweyne/Barwaaqo,,,GTZ - 2002,Part of town,Togdheer,Owdweyne,Verified,45.06304000000,9.41012900000,NC-3811-Q02-002,Q02-002,"11",Owdweyne,SO1303,Owdweyne,Oodweyne,,Togdheer,SO13,Somalia,SO
Owdweyne/Hawl Wadaag,,,GTZ - 2002,Part of town,Togdheer,Owdweyne,Verified,45.06303100000,9.40866300000,NC-3811-Q02-003,Q02-003,"8088","7593",Owdweyne/Hawl Wadaag,,,GTZ - 2002,Part of town,Togdheer,Owdweyne,Verified,45.06303100000,9.40866300000,NC-3811-Q02-003,Q02-003,"11",Owdweyne,SO1303,Owdweyne,Oodweyne,,Togdheer,SO13,Somalia,SO
Owdweyne/Shacabka,,,GTZ - 2002,Part of town,Togdheer,Owdweyne,Verified,45.06431500000,9.40703500000,NC-3811-Q02-001,Q02-001,"8089","7594",Owdweyne/Shacabka,,,GTZ - 2002,Part of town,Togdheer,Owdweyne,Verified,45.06431500000,9.40703500000,NC-3811-Q02-001,Q02-001,"11",Owdweyne,SO1303,Owdweyne,Oodweyne,,Togdheer,SO13,Somalia,SO
Owli,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.42590000000,2.96132000000,NA-3805-A32-002,A32-002,"4131","7595",Owli,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.42590000000,2.96132000000,NA-3805-A32-002,A32-002,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Oxolo,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.16996000000,2.79112000000,NA-3805-F26-002,F26-002,"3515","7596",Oxolo,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.16996000000,2.79112000000,NA-3805-F26-002,F26-002,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Primo Zendo,,,UNDP - 2006,Settlement,Lower Shabelle,Afgooye,Verified,45.30498000000,2.44567000000,NA-3807-P07-005,P07-005,"2487","7597",Primo Zendo,,,UNDP - 2006,Settlement,Lower Shabelle,Afgooye,Verified,45.30498000000,2.44567000000,NA-3807-P07-005,P07-005,"47",Afgooye,SO2302,Afgooye,Afgoi,,Lower Shabelle,SO23,Somalia,SO
Primo Zendo(Asiindada Koo,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.51386000000,2.74908000000,NA-3807-G12-004,G12-004,"3370","7598",Primo Zendo(Asiindada Koo,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.51386000000,2.74908000000,NA-3807-G12-004,G12-004,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Qaahira-Yarey,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.26634000000,3.15126000000,NA-3801-W28-004,W28-004,"4756","7599",Qaahira-Yarey,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.26634000000,3.15126000000,NA-3801-W28-004,W28-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Qaandole,Qandole,Qaan Dhoole,"UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Wanla Weyn,Verified,44.89565000000,2.69238000000,NA-3806-H31-007,H31-007,"3195","7600",Qaandole,Qandole,Qaan Dhoole,"UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Wanla Weyn,Verified,44.89565000000,2.69238000000,NA-3806-H31-007,H31-007,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Qaanlaaye,,,UNDP - 2006,Settlement,Bari,Qandala,Verified,50.32919000000,11.29169000000,NC-3902-S19-001,S19-001,"9512","7601",Qaanlaaye,,,UNDP - 2006,Settlement,Bari,Qandala,Verified,50.32919000000,11.29169000000,NC-3902-S19-001,S19-001,"24",Qandala,SO1605,Qandala,Kandala,,Bari,SO16,Somalia,SO
Qaaqi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.32813000000,3.20254000000,NA-3801-V30-004,V30-004,"4907","7602",Qaaqi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.32813000000,3.20254000000,NA-3801-V30-004,V30-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Qaaramey,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.99776100000,2.69496000000,NA-3806-H33-004,H33-004,"3214","7603",Qaaramey,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.99776100000,2.69496000000,NA-3806-H33-004,H33-004,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Qaararsoor,Qararsoor,,"UNDP - 2006, FSAU",Settlement,Bari,Qardho,Verified,49.57182000000,9.64573000000,NC-3810-J02-002,J02-002,"8407","7604",Qaararsoor,Qararsoor,,"UNDP - 2006, FSAU",Settlement,Bari,Qardho,Verified,49.57182000000,9.64573000000,NC-3810-J02-002,J02-002,"25",Qardho,SO1606,Qardho,Gardo,,Bari,SO16,Somalia,SO
Qaashaaley,,,UNDP - 2006,Settlement,Gedo,Luuq,Verified,42.48277000000,3.52707000000,NA-3801-M11-002,M11-002,"5501","7605",Qaashaaley,,,UNDP - 2006,Settlement,Gedo,Luuq,Verified,42.48277000000,3.52707000000,NA-3801-M11-002,M11-002,"67",Luuq,SO2606,Luuq,"Luuk, Luq",,Gedo,SO26,Somalia,SO
Qaayib,,,INGO - 2010,Settlement,Galgaduud,Dhuusamarreeb,Unverified,47.14721700000,5.49718500000,NB-3812-N15-001,N15-001,"7068","7606",Qaayib,,,INGO - 2010,Settlement,Galgaduud,Dhuusamarreeb,Unverified,47.14721700000,5.49718500000,NB-3812-N15-001,N15-001,"34",Dhuusamarreeb,SO1901,Dhuusamarreeb,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",,Galgaduud,SO19,Somalia,SO
Qaba,,,FSAU,Settlement,Lower Juba,Afmadow,Verified,42.03815000000,0.59066000000,NA-3813-K01-001,K01-001,"396","7607",Qaba,,,FSAU,Settlement,Lower Juba,Afmadow,Verified,42.03815000000,0.59066000000,NA-3813-K01-001,K01-001,"72",Afmadow,SO2802,Afmadow,,,Lower Juba,SO28,Somalia,SO
Qabaal,,,UNDP - 1997,Settlement,Bari,Qardho,Verified,49.26268700000,8.98566100000,NC-3913-A28-002,A28-002,"7838","7608",Qabaal,,,UNDP - 1997,Settlement,Bari,Qardho,Verified,49.26268700000,8.98566100000,NC-3913-A28-002,A28-002,"25",Qardho,SO1606,Qardho,Gardo,,Bari,SO16,Somalia,SO
Qabaal,Qalanqal,,"UNDP - 2006, UNDP - 1997",Settlement,Nugaal,Garowe,Verified,49.10120000000,8.39329000000,NC-3913-Q25-001,Q25-001,"7606","7609",Qabaal,Qalanqal,,"UNDP - 2006, UNDP - 1997",Settlement,Nugaal,Garowe,Verified,49.10120000000,8.39329000000,NC-3913-Q25-001,Q25-001,"26",Garoowe,SO1701,Garoowe,Garowe,,Nugaal,SO17,Somalia,SO
Qabaale,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.21534000000,2.07336000000,NA-3805-Y27-002,Y27-002,"1548","7610",Qabaale,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.21534000000,2.07336000000,NA-3805-Y27-002,Y27-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Qababiyow,Gababiyow,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.05327000000,2.65320000000,NA-3807-J02-008,J02-008,"3091","7611",Qababiyow,Gababiyow,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.05327000000,2.65320000000,NA-3807-J02-008,J02-008,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Qabadane,Kabadano,,UNDP - 2006,Part of town,Hiraan,Bulo Burto,Verified,45.56840000000,3.85424800000,NA-3803-D13-005,D13-005,"5959","7612",Qabadane,Kabadano,,UNDP - 2006,Part of town,Hiraan,Bulo Burto,Verified,45.56840000000,3.85424800000,NA-3803-D13-005,D13-005,"40",Bulo Burto,SO2002,Bulo Burto,"Bulo Barde, Buulo Burdo, Bula-brif, Bulo Burti",,Hiraan,SO20,Somalia,SO
Qabadane,,,UNDP - 2006,Settlement,Hiraan,Bulo Burto,Verified,45.66484000000,3.63167000000,NA-3803-J15-004,J15-004,"5639","7613",Qabadane,,,UNDP - 2006,Settlement,Hiraan,Bulo Burto,Verified,45.66484000000,3.63167000000,NA-3803-J15-004,J15-004,"40",Bulo Burto,SO2002,Bulo Burto,"Bulo Barde, Buulo Burdo, Bula-brif, Bulo Burti",,Hiraan,SO20,Somalia,SO
Qabadano,,,UNDP - 2006,Settlement,Hiraan,Bulo Burto,Verified,45.66400300000,3.63780800000,NA-3803-J15-002,J15-002,"5644","7614",Qabadano,,,UNDP - 2006,Settlement,Hiraan,Bulo Burto,Verified,45.66400300000,3.63780800000,NA-3803-J15-002,J15-002,"40",Bulo Burto,SO2002,Bulo Burto,"Bulo Barde, Buulo Burdo, Bula-brif, Bulo Burti",,Hiraan,SO20,Somalia,SO
Qabadka,,,UNDP - 1997,Settlement,Lower Shabelle,Qoryooley,Verified,44.68415100000,1.84951000000,NA-3810-D27-010,D27-010,"1271","7615",Qabadka,,,UNDP - 1997,Settlement,Lower Shabelle,Qoryooley,Verified,44.68415100000,1.84951000000,NA-3810-D27-010,D27-010,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Qaboobe,,,UNDP - 1997,Settlement,Middle Juba,Saakow,Verified,42.44968000000,1.54715000000,NA-3809-L10-001,L10-001,"793","7616",Qaboobe,,,UNDP - 1997,Settlement,Middle Juba,Saakow,Verified,42.44968000000,1.54715000000,NA-3809-L10-001,L10-001,"70",Saakow,SO2703,Saakow,Sakow,,Middle Juba,SO27,Somalia,SO
Qabri Baxar,,,UNDP - 1997,Settlement,Awdal,Baki,Verified,43.71960100000,10.28100000000,NC-3806-T05-001,T05-001,"9069","7617",Qabri Baxar,,,UNDP - 1997,Settlement,Awdal,Baki,Verified,43.71960100000,10.28100000000,NC-3806-T05-001,T05-001,"3",Baki,SO1102,Baki,,,Awdal,SO11,Somalia,SO
Qabri Boore,,,UNDP - 2006,Settlement,Gedo,Doolow,Verified,42.21543000000,3.80343000000,NA-3801-E05-001,E05-001,"5876","7618",Qabri Boore,,,UNDP - 2006,Settlement,Gedo,Doolow,Verified,42.21543000000,3.80343000000,NA-3801-E05-001,E05-001,"66",Doolow,SO2605,Doolow,"Dolow, Dolo",,Gedo,SO26,Somalia,SO
Qabri Dhaweel,,,UNDP - 2006,Settlement,Woqooyi Galbeed,Gebiley,Verified,43.63691000000,9.74671000000,NC-3810-G04-002,G04-002,"8555","7619",Qabri Dhaweel,,,UNDP - 2006,Settlement,Woqooyi Galbeed,Gebiley,Verified,43.63691000000,9.74671000000,NC-3810-G04-002,G04-002,"8",Gebiley,SO1203,Gebiley,Gabiley,,Woqooyi Galbeed,SO12,Somalia,SO
Qabri Dhaweyd,,,KEMRI - 2007,Settlement,Woqooyi Galbeed,Gebiley,Verified,43.37052000000,9.75807000000,NC-3809-F31-002,F31-002,"8572","7620",Qabri Dhaweyd,,,KEMRI - 2007,Settlement,Woqooyi Galbeed,Gebiley,Verified,43.37052000000,9.75807000000,NC-3809-F31-002,F31-002,"8",Gebiley,SO1203,Gebiley,Gabiley,,Woqooyi Galbeed,SO12,Somalia,SO
Qabri Huluul,,,GTZ - 2002,Settlement,Togdheer,Buuhoodle,Verified,46.30223200000,8.54817200000,NC-3815-L29-001,L29-001,"7670","7621",Qabri Huluul,,,GTZ - 2002,Settlement,Togdheer,Buuhoodle,Verified,46.30223200000,8.54817200000,NC-3815-L29-001,L29-001,"10",Buuhoodle,SO1302,Buuhoodle,Buhodle,,Togdheer,SO13,Somalia,SO
Qabri Samane,,,UNDP - 2006,Settlement,Sanaag,Ceel Afweyn,Verified,46.82852000000,9.61874000000,NC-3812-K08-001,K08-001,"8364","7622",Qabri Samane,,,UNDP - 2006,Settlement,Sanaag,Ceel Afweyn,Verified,46.82852000000,9.61874000000,NC-3812-K08-001,K08-001,"18",Ceel Afweyn,SO1502,Ceel Afweyn,"Ceel Afweyne, Ceel-afwein, El Afwein",,Sanaag,SO15,Somalia,SO
